LHID,Cosmology,Phase,LCDM,Massive Neutrinos,SimName,Description,omega_b,omega_cdm,h,A_s,n_s,alpha_s,N_ur,N_ncdm,omega_ncdm,w0_fld,wa_fld,sigma8_m,sigma8_cb
67,126,0,y,y,AbacusSummit_base_c126_ph000,Linear Derivative Grid,0.02237,0.12,0.6736,2.06e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.803908,0.807294
68,130,0,y,y,AbacusSummit_base_c130_ph000,Broader Emulator Grid,0.02237,0.12,0.6736,1.61e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.711201,0.714197
69,131,0,y,y,AbacusSummit_base_c131_ph000,Broader Emulator Grid,0.02237,0.1086,0.7165,2.31e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807866,0.811587
70,132,0,y,y,AbacusSummit_base_c132_ph000,Broader Emulator Grid,0.02237,0.12,0.6736,2.18e-09,0.9049,0.0,2.0328,1,0.0006442,-1.0,0.0,0.808189,0.811584
71,133,0,y,y,AbacusSummit_base_c133_ph000,Broader Emulator Grid,0.02237,0.12,0.6736,2.61e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.905163,0.908976
72,134,0,y,y,AbacusSummit_base_c134_ph000,Broader Emulator Grid,0.02237,0.1326,0.6319,1.91e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.808458,0.811566
73,135,0,y,y,AbacusSummit_base_c135_ph000,Broader Emulator Grid,0.02237,0.12,0.6736,1.99e-09,1.0249,0.0,2.0328,1,0.0006442,-1.0,0.0,0.80816,0.811573
74,136,0,y,y,AbacusSummit_base_c136_ph000,Broader Emulator Grid,0.02073,0.1192,0.6618,2.52e-09,0.9303,0.0,2.0328,1,0.0006442,-1.0,0.0,0.882475,0.886249
75,137,0,y,y,AbacusSummit_base_c137_ph000,Broader Emulator Grid,0.02212,0.1271,0.6472,1.65e-09,0.9252,0.0,2.0328,1,0.0006442,-1.0,0.0,0.729693,0.732609
76,138,0,y,y,AbacusSummit_base_c138_ph000,Broader Emulator Grid,0.02108,0.1138,0.6847,2.23e-09,0.9723,0.0,2.0328,1,0.0006442,-1.0,0.0,0.821432,0.825095
77,139,0,y,y,AbacusSummit_base_c139_ph000,Broader Emulator Grid,0.02416,0.1128,0.7164,2.17e-09,0.9732,0.0,2.0328,1,0.0006442,-1.0,0.0,0.793003,0.796493
78,140,0,y,y,AbacusSummit_base_c140_ph000,Broader Emulator Grid,0.02096,0.1221,0.6536,1.81e-09,0.9893,0.0,2.0328,1,0.0006442,-1.0,0.0,0.772033,0.775267
79,141,0,y,y,AbacusSummit_base_c141_ph000,Broader Emulator Grid,0.02381,0.1272,0.6623,1.99e-09,0.9384,0.0,2.0328,1,0.0006442,-1.0,0.0,0.799575,0.802737
80,142,0,y,y,AbacusSummit_base_c142_ph000,Broader Emulator Grid,0.02287,0.113,0.7038,1.67e-09,0.9927,0.0,2.0328,1,0.0006442,-1.0,0.0,0.707082,0.710219
81,143,0,y,y,AbacusSummit_base_c143_ph000,Broader Emulator Grid,0.02206,0.1278,0.6443,2.11e-09,0.9952,0.0,2.0328,1,0.0006442,-1.0,0.0,0.847522,0.850903
82,144,0,y,y,AbacusSummit_base_c144_ph000,Broader Emulator Grid,0.0221,0.113,0.6968,2.77e-09,0.9279,0.0,2.0328,1,0.0006442,-1.0,0.0,0.89136,0.895324
83,145,0,y,y,AbacusSummit_base_c145_ph000,Broader Emulator Grid,0.02428,0.1186,0.6961,2.16e-09,0.9347,0.0,2.0328,1,0.0006442,-1.0,0.0,0.801404,0.804769
84,146,0,y,y,AbacusSummit_base_c146_ph000,Broader Emulator Grid,0.02097,0.118,0.6682,1.9e-09,0.9351,0.0,2.0328,1,0.0006442,-1.0,0.0,0.762696,0.765984
85,147,0,n,y,AbacusSummit_base_c147_ph000,Broader Emulator Grid,0.02113,0.1215,0.6498,1.91e-09,0.9587,0.0,2.0328,1,0.0006442,-0.809,-0.628,0.777157,0.780416
86,148,0,n,y,AbacusSummit_base_c148_ph000,Broader Emulator Grid,0.02289,0.1201,0.6199,1.96e-09,0.938,0.0,2.0328,1,0.0006442,-0.925,0.393,0.714913,0.717888
87,149,0,n,y,AbacusSummit_base_c149_ph000,Broader Emulator Grid,0.02188,0.12,0.6688,2.15e-09,0.9913,0.0,2.0328,1,0.0006442,-1.174,0.613,0.824854,0.828343
88,150,0,n,y,AbacusSummit_base_c150_ph000,Broader Emulator Grid,0.02248,0.1216,0.7224,2.51e-09,0.9355,0.0,2.0328,1,0.0006442,-1.09,-0.373,0.937655,0.94157
89,151,0,n,y,AbacusSummit_base_c151_ph000,Broader Emulator Grid,0.02315,0.1254,0.6582,2.27e-09,0.9757,0.0,2.0328,1,0.0006442,-0.826,-0.615,0.86082,0.864288
90,152,0,n,y,AbacusSummit_base_c152_ph000,Broader Emulator Grid,0.02165,0.1148,0.6204,1.8e-09,0.9541,0.0,2.0328,1,0.0006442,-0.732,-0.187,0.677885,0.680849
91,153,0,n,y,AbacusSummit_base_c153_ph000,Broader Emulator Grid,0.02192,0.1199,0.6092,2.29e-09,0.9917,0.0,2.0328,1,0.0006442,-0.735,-0.172,0.794389,0.797729
92,154,0,n,y,AbacusSummit_base_c154_ph000,Broader Emulator Grid,0.02158,0.1148,0.7426,2.07e-09,0.9538,0.0,2.0328,1,0.0006442,-1.076,-0.395,0.838698,0.842413
93,155,0,n,y,AbacusSummit_base_c155_ph000,Broader Emulator Grid,0.02369,0.1184,0.6247,2.07e-09,0.9713,0.0,2.0328,1,0.0006442,-0.727,-0.184,0.735302,0.738388
94,156,0,n,y,AbacusSummit_base_c156_ph000,Broader Emulator Grid,0.02202,0.1261,0.6499,1.97e-09,0.9678,0.0,2.0328,1,0.0006442,-1.176,0.621,0.801974,0.80521
95,157,0,n,y,AbacusSummit_base_c157_ph000,Broader Emulator Grid,0.02247,0.1214,0.6668,2.51e-09,0.9356,0.0,2.0328,1,0.0006442,-1.167,0.616,0.872315,0.875941
96,158,0,n,y,AbacusSummit_base_c158_ph000,Broader Emulator Grid,0.02201,0.1262,0.6958,1.86e-09,0.9667,0.0,2.0328,1,0.0006442,-1.082,-0.392,0.829816,0.833179
97,159,0,n,y,AbacusSummit_base_c159_ph000,Broader Emulator Grid,0.02206,0.1261,0.5967,1.8e-09,0.9673,0.0,2.0328,1,0.0006442,-0.726,-0.22,0.718521,0.721402
98,160,0,n,y,AbacusSummit_base_c160_ph000,Broader Emulator Grid,0.02223,0.1185,0.7456,2.1e-09,0.9942,0.0,2.0328,1,0.0006442,-1.271,0.217,0.876756,0.880523
99,161,0,y,y,AbacusSummit_base_c161_ph000,Broader Emulator Grid,0.02282,0.1274,0.733,1.97e-09,0.9649,0.026,2.7283,1,0.0006442,-1.0,0.0,0.793066,0.796247
100,162,0,y,y,AbacusSummit_base_c162_ph000,Broader Emulator Grid,0.02136,0.1048,0.6383,2.16e-09,0.9297,-0.026,1.3521,1,0.0006442,-1.0,0.0,0.779589,0.783285
101,163,0,y,y,AbacusSummit_base_c163_ph000,Broader Emulator Grid,0.02135,0.129,0.728,2.17e-09,0.9922,-0.018,2.8575,1,0.0006442,-1.0,0.0,0.838824,0.842187
102,164,0,y,y,AbacusSummit_base_c164_ph000,Broader Emulator Grid,0.02173,0.1091,0.6042,2e-09,0.9211,0.016,1.1769,1,0.0006442,-1.0,0.0,0.774159,0.777681
103,165,0,y,y,AbacusSummit_base_c165_ph000,Broader Emulator Grid,0.02225,0.1278,0.7293,2.07e-09,1.0241,0.026,2.7558,1,0.0006442,-1.0,0.0,0.835954,0.839319
104,166,0,y,y,AbacusSummit_base_c166_ph000,Broader Emulator Grid,0.02306,0.1151,0.6826,2.28e-09,0.9691,0.038,1.9089,1,0.0006442,-1.0,0.0,0.837463,0.841106
105,167,0,y,y,AbacusSummit_base_c167_ph000,Broader Emulator Grid,0.02248,0.14,0.705,1.73e-09,0.9715,-0.017,2.8889,1,0.0006442,-1.0,0.0,0.768419,0.771255
106,168,0,y,y,AbacusSummit_base_c168_ph000,Broader Emulator Grid,0.02157,0.1084,0.607,2.54e-09,0.9275,0.016,1.1911,1,0.0006442,-1.0,0.0,0.871407,0.875401
107,169,0,y,y,AbacusSummit_base_c169_ph000,Broader Emulator Grid,0.02189,0.1222,0.6474,1.81e-09,0.9898,0.038,1.9109,1,0.0006442,-1.0,0.0,0.777925,0.781158
108,170,0,y,y,AbacusSummit_base_c170_ph000,Broader Emulator Grid,0.02319,0.1076,0.6418,1.8e-09,0.9387,-0.026,1.3411,1,0.0006442,-1.0,0.0,0.716059,0.719332
109,171,0,y,y,AbacusSummit_base_c171_ph000,Broader Emulator Grid,0.02348,0.1272,0.6733,2.26e-09,0.9762,-0.038,2.1543,1,0.0006442,-1.0,0.0,0.852878,0.856267
110,172,0,y,y,AbacusSummit_base_c172_ph000,Broader Emulator Grid,0.02282,0.1032,0.6369,2.13e-09,0.9012,0.017,1.1954,1,0.0006442,-1.0,0.0,0.76565,0.769278
111,173,0,y,y,AbacusSummit_base_c173_ph000,Broader Emulator Grid,0.02322,0.1161,0.68,1.89e-09,0.9628,0.038,1.9049,1,0.0006442,-1.0,0.0,0.763962,0.767255
112,174,0,y,y,AbacusSummit_base_c174_ph000,Broader Emulator Grid,0.02302,0.1064,0.6427,2.49e-09,0.9437,-0.026,1.3242,1,0.0006442,-1.0,0.0,0.840113,0.843996
113,175,0,n,y,AbacusSummit_base_c175_ph000,Broader Emulator Grid,0.02173,0.1336,0.6432,1.74e-09,0.9898,-0.003,2.7456,1,0.0006442,-0.911,0.35,0.70876,0.711484
114,176,0,n,y,AbacusSummit_base_c176_ph000,Broader Emulator Grid,0.02238,0.1199,0.6972,2.31e-09,0.9459,0.036,1.9043,1,0.0006442,-1.222,0.339,0.892483,0.896318
115,177,0,n,y,AbacusSummit_base_c177_ph000,Broader Emulator Grid,0.02239,0.1344,0.682,2.06e-09,1.0002,0.007,2.8643,1,0.0006442,-0.757,-0.443,0.806026,0.80911
116,178,0,n,y,AbacusSummit_base_c178_ph000,Broader Emulator Grid,0.02234,0.1204,0.6542,1.97e-09,0.9424,0.037,1.8987,1,0.0006442,-0.874,-0.455,0.791239,0.794555
117,179,0,n,y,AbacusSummit_base_c179_ph000,Broader Emulator Grid,0.0224,0.1067,0.5881,2.24e-09,0.9308,-0.003,1.1884,1,0.0006442,-0.755,-0.435,0.775969,0.779541
118,180,0,n,y,AbacusSummit_base_c180_ph000,Broader Emulator Grid,0.02258,0.1209,0.7451,2.28e-09,0.9796,-0.034,2.1722,1,0.0006442,-1.108,-0.274,0.894071,0.897833
119,0,006,y,y,AbacusSummit_base_c000_ph006,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
120,0,007,y,y,AbacusSummit_base_c000_ph007,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
121,0,008,y,y,AbacusSummit_base_c000_ph008,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
122,0,009,y,y,AbacusSummit_base_c000_ph009,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
123,0,010,y,y,AbacusSummit_base_c000_ph010,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
124,0,011,y,y,AbacusSummit_base_c000_ph011,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
125,0,012,y,y,AbacusSummit_base_c000_ph012,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
126,0,013,y,y,AbacusSummit_base_c000_ph013,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
127,0,014,y,y,AbacusSummit_base_c000_ph014,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
128,0,015,y,y,AbacusSummit_base_c000_ph015,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
129,0,016,y,y,AbacusSummit_base_c000_ph016,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
130,0,017,y,y,AbacusSummit_base_c000_ph017,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
131,0,018,y,y,AbacusSummit_base_c000_ph018,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
132,0,019,y,y,AbacusSummit_base_c000_ph019,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
133,0,020,y,y,AbacusSummit_base_c000_ph020,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
134,0,021,y,y,AbacusSummit_base_c000_ph021,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
135,0,022,y,y,AbacusSummit_base_c000_ph022,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
136,0,023,y,y,AbacusSummit_base_c000_ph023,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
137,0,024,y,y,AbacusSummit_base_c000_ph024,Planck2018 LCDM,0.02237,0.12,0.6736,2.08e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
